Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Nikola Jokić,C,26,DEN,4,4,29.5,11.0,16.3,.677,1.8,3.8,.467,9.3,12.5,.740,.731,3.0,4.0,.750,2.8,10.8,13.5,4.5,2.0,0.3,4.0,2.8,26.8
Derrick Jones Jr.,SF,24,CHI,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herb Jones,C,23,NOP,4,3,23.3,1.0,2.8,.364,0.0,0.3,.000,1.0,2.5,.400,.364,0.0,0.0,,1.5,1.3,2.8,1.5,0.8,0.8,2.0,2.3,2.0
Kai Jones,C,21,CHO,2,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tre Jones,PG,22,SAS,3,0,4.7,1.0,1.7,.600,0.0,0.0,,1.0,1.7,.600,.600,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,2.0
Tyus Jones,PG,25,MEM,3,0,12.7,2.3,4.3,.538,0.3,1.0,.333,2.0,3.3,.600,.577,0.0,0.0,,0.0,2.0,2.0,2.7,0.3,0.0,0.0,0.7,5.0
DeAndre Jordan,C,33,LAL,4,4,13.3,2.3,2.8,.818,0.0,0.0,,2.3,2.8,.818,.818,0.3,0.5,.500,1.5,4.3,5.8,0.5,0.3,1.3,0.3,2.0,4.8
Cory Joseph,PG,30,DET,3,0,21.3,1.0,6.0,.167,0.3,2.7,.125,0.7,3.3,.200,.194,0.3,0.7,.500,1.0,0.3,1.3,2.7,0.7,0.7,1.0,0.7,2.7
Georgios Kalaitzakis,SF,23,MIL,3,0,6.7,1.0,2.3,.429,0.3,0.7,.500,0.7,1.7,.400,.500,0.3,1.3,.250,1.0,0.7,1.7,0.0,0.0,0.0,1.0,0.7,2.7
Frank Kaminsky,C,28,PHO,1,0,10.0,1.0,4.0,.250,0.0,2.0,.000,1.0,2.0,.500,.250,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0
Enes Kanter,C,29,BOS,1,0,5.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Luke Kennard,SG,25,LAC,3,0,23.7,4.7,8.7,.538,3.0,5.3,.563,1.7,3.3,.500,.712,1.0,1.0,1.000,0.3,2.0,2.3,2.3,0.0,0.3,0.3,2.7,13.3
